date_range,brand,units_sold,sales_exgst,product_cost,product_margin
29/06/2020,Nexgard Spectra,1880,132830.696,"$123,367.92","$9,462.78"
29/06/2020,Advocate,740,41826.664,"$34,784.15","$7,042.51"
29/06/2020,Bravecto,615,32353.048,"$23,208.49","$9,144.56"
29/06/2020,NexGard,305,17100.64,"$13,433.23","$3,667.41"
29/06/2020,Sentinel,181,13759.08,"$11,166.02","$2,593.06"
29/06/2020,Revolution,270,13022.616,"$9,443.08","$3,579.54"
29/06/2020,Milbemax,424,6892.088,"$5,021.07","$1,871.02"
29/06/2020,Interceptor,143,5815.84,"$4,960.40",$855.44
29/06/2020,Drontal,248,5193.536,"$3,957.88","$1,235.66"
29/06/2020,Comfortis Plus,73,5001.72,"$4,277.76",$723.96
29/06/2020,The Big 5,61,4121.008,"$3,460.35",$660.66
29/06/2020,Simparica,114,4069.504,"$3,097.75",$971.76
29/06/2020,Revolution Plus,81,3769.632,"$2,712.06","$1,057.57"
29/06/2020,Advantage,71,3410.584,"$2,726.95",$683.63
29/06/2020,Frontline,57,2568.168,"$1,880.87",$687.30
29/06/2020,Heartgard,78,2225.584,"$2,057.97",$167.62
29/06/2020,Seresto,69,1928.288,"$1,579.44",$348.84
29/06/2020,Comfortis,42,1843.152,"$1,516.47",$326.68
29/06/2020,Paragard,97,1415.184,"$1,062.81",$352.37
29/06/2020,Advantix,27,1231.96,$977.78,$254.18
29/06/2020,Profender,48,793.928,$491.64,$302.29
29/06/2020,Aristopet,59,587.696,$446.88,$140.82
29/06/2020,Ranvet,6,514.912,$437.51,$77.40
29/06/2020,Cazitel,27,488.288,$296.67,$191.62
29/06/2020,Fidos,18,414.048,$243.11,$170.94
29/06/2020,Activyl,8,370.04,$324.11,$45.94
29/06/2020,Endogard,26,353.88,$251.86,$102.03
29/06/2020,Valuheart,34,296,$251.67,$44.33
29/06/2020,Nuheart,14,197.584,$150.22,$47.36
29/06/2020,kiltix,14,170.952,$121.50,$49.45
29/06/2020,Capstar,7,125.544,$91.39,$34.15
29/06/2020,Troy,7,71.224,$30.70,$40.52
29/06/2020,Canimax,3,64.624,$49.16,$15.46
29/06/2020,Omega Magic,3,38.288,$32.54,$5.75
29/06/2020,Tick Twister,3,19.64,$16.70,$2.94
29/06/2020,Amazonia,1,13.456,$8.29,$5.17
06/07/2020,Nexgard Spectra,2336,163353.536,"$149,398.24","$13,955.29"
06/07/2020,Advocate,1062,62301.048,"$50,652.83","$11,648.22"
06/07/2020,Bravecto,911,46919.656,"$33,230.78","$13,688.87"
06/07/2020,NexGard,451,25443.568,"$19,899.68","$5,543.89"
06/07/2020,Revolution,409,20102.888,"$14,355.11","$5,747.77"
06/07/2020,Sentinel,230,18068.232,"$14,348.69","$3,719.54"
06/07/2020,Milbemax,531,10027.728,"$7,109.88","$2,917.85"
06/07/2020,Comfortis Plus,102,7937.48,"$6,834.90","$1,102.58"
06/07/2020,Drontal,320,7302.392,"$5,607.72","$1,694.67"
06/07/2020,Interceptor,185,7188.824,"$6,127.20","$1,061.62"
06/07/2020,Simparica,127,5307,"$3,948.58","$1,358.42"
06/07/2020,The Big 5,74,5086.008,"$4,266.64",$819.37
06/07/2020,Revolution Plus,107,5028.888,"$3,571.68","$1,457.21"
06/07/2020,Advantage,107,4806.144,"$3,833.69",$972.46
06/07/2020,Frontline,97,4612.528,"$3,245.77","$1,366.76"
06/07/2020,Comfortis,59,2848.4,"$2,401.55",$446.85
06/07/2020,Heartgard,97,2744.688,"$2,542.85",$201.84
06/07/2020,Seresto,95,2671.608,"$2,174.60",$497.01
06/07/2020,Paragard,148,2123,"$1,592.37",$530.63
06/07/2020,Advantix,42,1850.536,"$1,469.28",$381.26
06/07/2020,Profender,92,1529.152,$942.31,$586.84
06/07/2020,Aristopet,116,1080.2,$821.81,$258.39
06/07/2020,Ranvet,12,1035.464,$879.91,$155.55
06/07/2020,Cazitel,44,805.952,$490.70,$315.26
06/07/2020,Endogard,39,533.64,$402.34,$131.30
06/07/2020,Activyl,10,462.144,$406.64,$55.50
06/07/2020,Fidos,13,410.92,$227.09,$183.83
06/07/2020,Valuheart,43,374.024,$317.92,$56.11
06/07/2020,kiltix,24,293.064,$208.28,$84.78
06/07/2020,Troy,17,172.968,$74.56,$98.41
06/07/2020,Omega Magic,10,135.88,$108.46,$27.42
06/07/2020,Nuheart,10,135.368,$102.07,$33.30
06/07/2020,Capstar,7,125.544,$91.39,$34.15
06/07/2020,Canimax,4,86.168,$65.55,$20.62
06/07/2020,Amazonia,4,53.816,$33.15,$20.67
06/07/2020,Tick Twister,4,26.184,$22.27,$3.91
13/07/2020,Nexgard Spectra,2728,192504.608,"$172,123.33","$20,381.28"
13/07/2020,Advocate,1277,75670.456,"$60,886.92","$14,783.54"
13/07/2020,Bravecto,1104,59749.44,"$42,163.83","$17,585.62"
13/07/2020,NexGard,515,29090.736,"$22,940.46","$6,150.27"
13/07/2020,Revolution,479,23845.992,"$17,047.23","$6,798.77"
13/07/2020,Sentinel,300,21052.976,"$17,126.98","$3,925.99"
13/07/2020,Milbemax,653,11773.48,"$8,852.28","$2,921.20"
13/07/2020,Drontal,395,8508.84,"$6,624.73","$1,884.11"
13/07/2020,Interceptor,204,8179.76,"$6,964.88","$1,214.88"
13/07/2020,Comfortis Plus,97,7044.56,"$6,035.94","$1,008.63"
13/07/2020,The Big 5,96,6451.664,"$5,413.96","$1,037.71"
13/07/2020,Simparica,162,6235.592,"$4,691.95","$1,543.64"
13/07/2020,Advantage,139,6219.128,"$4,984.63","$1,234.50"
13/07/2020,Revolution Plus,102,4742.656,"$3,398.60","$1,344.06"
13/07/2020,Seresto,171,4610.576,"$3,914.28",$696.30
13/07/2020,Frontline,98,4277.56,"$3,198.12","$1,079.44"
13/07/2020,Heartgard,128,3590.48,"$3,327.15",$263.33
13/07/2020,Comfortis,64,2818.44,"$2,344.54",$473.90
13/07/2020,Advantix,56,2511.016,"$1,993.61",$517.41
13/07/2020,Paragard,151,2149.632,"$1,616.75",$532.88
13/07/2020,Profender,117,1957.032,"$1,198.37",$758.66
13/07/2020,Ranvet,17,1389.32,"$1,180.59",$208.73
13/07/2020,Aristopet,112,1071.52,$813.23,$258.29
13/07/2020,Endogard,65,902.104,$675.38,$226.72
13/07/2020,Cazitel,46,852.2,$522.33,$329.87
13/07/2020,Fidos,32,818.352,$442.54,$375.81
